varsta,sursa_de_apa,alimente_procesate,peste_sau_fructe_de_mare,recipiente_de_plastic,haine_sintetice,tipul_zonei,mediul_de_lucru,ore_petrecute_in_interior,tipul_de_sare,fumatul,cosmetice,mg_total
65,Filtred_water,Once a week,9,Never,43,Urban,Factory/Industrial,21,Regular salt,Yes,5 times a week,50.68800000000001
44,Filtred_water,Every day,1,Every day,36,Industrial,Outdoors,22,Sea salt,No,Once a week,95.71799999999999
46,Bottled_water,Every day,11,Every day,23,Industrial,Factory/Industrial,21,Sea salt,No,Never,118.20649999999999
46,Tap_water,Once a week,12,Never,15,Rural,Factory/Industrial,14,Sea salt,No,Never,28.5705
68,Bottled_water,5 times a week,12,3 times a week,63,Rural,Outdoors,1,Sea salt,No,Never,65.34299999999999
77,Tap_water,5 times a week,13,Every day,80,Urban,Home,10,Sea salt,Yes,5 times a week,77.82249999999999
64,Bottled_water,Never,1,3 times a week,63,Industrial,Factory/Industrial,22,Regular salt,No,3 times a week,68.625
72,Filtred_water,Never,8,5 times a week,47,Industrial,Office,3,Sea salt,Yes,Every day,45.12450000000001
69,Tap_water,5 times a week,1,Never,86,Rural,Outdoors,20,Regular salt,Yes,Never,50.00250000000001
63,Bottled_water,5 times a week,11,3 times a week,40,Urban,Factory/Industrial,3,Sea salt,Occasionally,Never,69.814
52,Bottled_water,3 times a week,11,3 times a week,61,Industrial,Outdoors,0,Regular salt,No,3 times a week,62.099000000000004
23,Filtred_water,5 times a week,8,Every day,61,Industrial,Outdoors,3,Regular salt,Yes,Every day,78.49849999999999
35,Filtred_water,Once a week,10,Never,82,Rural,Outdoors,16,Sea salt,Occasionally,Once a week,39.871500000000005
21,Filtred_water,Every day,9,Never,4,Rural,Outdoors,8,Regular salt,Occasionally,Every day,65.4995
72,Tap_water,Every day,13,5 times a week,39,Rural,Factory/Industrial,18,Regular salt,No,Once a week,81.49249999999999
67,Bottled_water,Never,12,5 times a week,1,Rural,Office,23,Sea salt,No,Once a week,63.275999999999996
68,Tap_water,Once a week,6,Once a week,29,Urban,Office,16,Sea salt,Occasionally,Every day,37.6455
27,Bottled_water,Every day,7,Never,3,Industrial,Home,12,Sea salt,No,Never,76.66199999999999
44,Filtred_water,Never,8,5 times a week,13,Urban,Home,8,Sea salt,Occasionally,Once a week,34.6845
32,Filtred_water,3 times a week,12,Every day,49,Industrial,Office,22,Sea salt,Occasionally,3 times a week,78.455
24,Tap_water,Once a week,11,Every day,59,Urban,Outdoors,21,Sea salt,Yes,Once a week,64.885
27,Filtred_water,Never,8,Never,90,Rural,Outdoors,14,Regular salt,No,5 times a week,38.68750000000001
37,Tap_water,Once a week,5,Once a week,44,Urban,Factory/Industrial,17,Sea salt,Occasionally,Never,35.617
72,Bottled_water,3 times a week,2,5 times a week,44,Industrial,Home,10,Sea salt,Yes,Every day,76.74900000000001
55,Tap_water,Every day,6,3 times a week,38,Urban,Factory/Industrial,9,Regular salt,Occasionally,3 times a week,70.91699999999999
62,Filtred_water,3 times a week,5,5 times a week,93,Rural,Outdoors,19,Regular salt,Occasionally,3 times a week,64.259
75,Tap_water,Never,0,Never,98,Urban,Factory/Industrial,13,Regular salt,No,Every day,37.736000000000004
50,Bottled_water,Never,3,3 times a week,79,Urban,Outdoors,0,Sea salt,Occasionally,Once a week,47.6915
67,Bottled_water,Every day,5,Never,62,Rural,Factory/Industrial,13,Sea salt,Occasionally,3 times a week,91.143
58,Bottled_water,5 times a week,8,3 times a week,7,Industrial,Factory/Industrial,2,Sea salt,Yes,Once a week,68.655
64,Filtred_water,Every day,5,Once a week,85,Industrial,Home,7,Sea salt,Occasionally,Once a week,67.3725
32,Bottled_water,Once a week,7,Never,33,Industrial,Office,11,Regular salt,Occasionally,3 times a week,51.447500000000005
55,Tap_water,Every day,13,3 times a week,8,Rural,Outdoors,11,Sea salt,No,5 times a week,68.692
58,Bottled_water,Never,14,Never,65,Rural,Outdoors,7,Sea salt,Yes,3 times a week,51.542
46,Filtred_water,5 times a week,3,Once a week,25,Rural,Factory/Industrial,16,Sea salt,Occasionally,Every day,60.058499999999995
43,Filtred_water,3 times a week,6,Once a week,4,Urban,Outdoors,12,Regular salt,Occasionally,Never,36.441500000000005
62,Filtred_water,Once a week,12,Every day,68,Rural,Office,19,Sea salt,Occasionally,Never,65.46499999999999
44,Bottled_water,Once a week,12,3 times a week,94,Urban,Factory/Industrial,23,Regular salt,Occasionally,3 times a week,80.296
24,Tap_water,5 times a week,3,Once a week,50,Rural,Factory/Industrial,23,Sea salt,No,Never,52.993
25,Filtred_water,3 times a week,5,3 times a week,78,Rural,Factory/Industrial,5,Sea salt,Yes,5 times a week,55.11600000000001
66,Bottled_water,Never,5,Once a week,71,Urban,Office,19,Regular salt,No,Every day,62.602000000000004
57,Tap_water,Never,7,3 times a week,5,Urban,Outdoors,11,Sea salt,Yes,Every day,35.79600000000001
78,Filtred_water,Never,8,Never,36,Urban,Home,15,Regular salt,Yes,5 times a week,36.247
50,Filtred_water,3 times a week,1,Every day,47,Industrial,Factory/Industrial,0,Regular salt,Yes,Never,60.19400000000001
52,Tap_water,Never,0,3 times a week,66,Rural,Office,20,Regular salt,Yes,Never,36.42850000000001
69,Bottled_water,Every day,10,Never,64,Urban,Office,13,Regular salt,No,Every day,92.895
60,Filtred_water,3 times a week,0,Once a week,40,Industrial,Home,18,Regular salt,Yes,3 times a week,48.133
32,Filtred_water,3 times a week,11,Every day,80,Urban,Office,13,Sea salt,Occasionally,Never,69.61399999999999
75,Tap_water,5 times a week,0,Once a week,26,Urban,Factory/Industrial,22,Sea salt,No,Every day,57.9585
66,Bottled_water,5 times a week,12,Every day,0,Urban,Factory/Industrial,6,Sea salt,No,Every day,94.1585
18,Filtred_water,Once a week,1,5 times a week,99,Rural,Outdoors,6,Sea salt,No,Once a week,42.6035
70,Bottled_water,5 times a week,10,Once a week,29,Urban,Home,9,Regular salt,Occasionally,Once a week,63.831
61,Filtred_water,5 times a week,10,3 times a week,92,Urban,Office,16,Regular salt,No,Never,60.77049999999999
63,Tap_water,Once a week,6,5 times a week,52,Rural,Outdoors,9,Sea salt,No,5 times a week,41.62700000000001
71,Filtred_water,Never,5,Every day,98,Urban,Factory/Industrial,21,Regular salt,Occasionally,5 times a week,75.487
54,Tap_water,3 times a week,4,3 times a week,51,Rural,Home,15,Regular salt,No,3 times a week,43.871
61,Filtred_water,Every day,14,Every day,69,Rural,Office,15,Sea salt,Occasionally,3 times a week,99.735
21,Filtred_water,Every day,9,Never,69,Rural,Office,17,Sea salt,Yes,5 times a week,77.76899999999999
31,Filtred_water,3 times a week,10,Once a week,84,Urban,Outdoors,10,Regular salt,Occasionally,Never,44.6845
62,Tap_water,Every day,12,Never,61,Urban,Office,23,Sea salt,Occasionally,Every day,78.68299999999999
74,Filtred_water,Every day,2,5 times a week,38,Urban,Home,6,Sea salt,Yes,5 times a week,76.7845
21,Bottled_water,Once a week,0,3 times a week,22,Industrial,Home,0,Regular salt,Occasionally,Every day,51.751000000000005
70,Bottled_water,Every day,9,Every day,59,Urban,Outdoors,2,Sea salt,Occasionally,Never,102.68049999999998
61,Tap_water,Once a week,13,Never,2,Rural,Home,18,Regular salt,No,Never,25.526500000000002
25,Filtred_water,Never,1,3 times a week,44,Rural,Factory/Industrial,14,Regular salt,No,Once a week,38.1785
53,Bottled_water,Every day,2,Every day,93,Rural,Factory/Industrial,11,Regular salt,Yes,3 times a week,119.55499999999999
39,Bottled_water,Every day,9,Never,10,Industrial,Factory/Industrial,5,Sea salt,Yes,3 times a week,84.5265
67,Filtred_water,Never,4,Every day,23,Industrial,Factory/Industrial,5,Regular salt,No,Every day,57.51850000000002
43,Tap_water,Never,8,Every day,26,Urban,Office,5,Sea salt,Yes,Every day,51.215
57,Bottled_water,5 times a week,13,Every day,37,Industrial,Office,16,Regular salt,No,Once a week,94.849
21,Tap_water,Every day,14,Never,49,Rural,Office,8,Regular salt,Occasionally,Never,57.3335
22,Tap_water,3 times a week,12,3 times a week,38,Rural,Office,5,Regular salt,Yes,5 times a week,43.54700000000001
50,Filtred_water,3 times a week,6,Every day,54,Urban,Home,19,Sea salt,No,3 times a week,71.973
32,Tap_water,Once a week,5,Every day,72,Industrial,Outdoors,23,Regular salt,Yes,Once a week,66.63250000000001
63,Bottled_water,Every day,5,5 times a week,32,Industrial,Home,19,Regular salt,Occasionally,Every day,107.1345
66,Tap_water,5 times a week,6,5 times a week,75,Urban,Outdoors,5,Sea salt,Occasionally,Once a week,52.2
29,Bottled_water,Every day,3,5 times a week,26,Urban,Outdoors,7,Sea salt,Occasionally,Once a week,89.14499999999997
25,Tap_water,Never,2,3 times a week,60,Rural,Outdoors,18,Regular salt,Occasionally,3 times a week,37.648500000000006
44,Filtred_water,Once a week,0,Never,58,Urban,Outdoors,10,Sea salt,No,5 times a week,33.6175
42,Bottled_water,Once a week,5,Every day,75,Industrial,Office,21,Regular salt,Yes,3 times a week,90.57750000000001
58,Bottled_water,Every day,2,Never,56,Urban,Home,14,Sea salt,Occasionally,5 times a week,88.16349999999997
22,Bottled_water,Never,0,3 times a week,68,Industrial,Factory/Industrial,12,Regular salt,Yes,3 times a week,64.036
65,Filtred_water,5 times a week,14,3 times a week,23,Urban,Office,7,Regular salt,No,3 times a week,51.896
29,Filtred_water,5 times a week,7,Never,71,Urban,Office,12,Sea salt,No,5 times a week,52.880500000000005
19,Bottled_water,3 times a week,2,Never,1,Rural,Office,19,Sea salt,No,Every day,61.977999999999994
38,Filtred_water,Every day,6,3 times a week,10,Rural,Outdoors,21,Sea salt,Occasionally,5 times a week,80.31199999999998
38,Bottled_water,Once a week,12,Once a week,97,Industrial,Outdoors,8,Regular salt,Yes,Once a week,60.28300000000001
53,Filtred_water,Every day,10,Once a week,91,Industrial,Outdoors,10,Sea salt,Yes,Once a week,75.036
36,Bottled_water,Once a week,7,5 times a week,18,Industrial,Office,11,Sea salt,Yes,Never,60.980500000000006
72,Tap_water,3 times a week,9,3 times a week,81,Industrial,Home,0,Sea salt,Yes,Every day,46.88000000000001
59,Tap_water,5 times a week,3,Every day,99,Rural,Factory/Industrial,19,Regular salt,No,5 times a week,84.65099999999998
36,Bottled_water,Every day,5,3 times a week,85,Industrial,Home,23,Sea salt,No,Never,100.69349999999999
49,Bottled_water,Never,12,Every day,34,Urban,Office,7,Regular salt,Occasionally,Never,67.863
18,Bottled_water,5 times a week,8,3 times a week,36,Rural,Outdoors,6,Sea salt,Yes,5 times a week,74.07149999999999
20,Filtred_water,Never,4,Every day,20,Rural,Home,4,Regular salt,Yes,Every day,52.6075
51,Tap_water,Every day,1,3 times a week,92,Industrial,Factory/Industrial,1,Regular salt,No,Never,64.80049999999999
62,Bottled_water,Never,5,Once a week,15,Urban,Home,16,Sea salt,No,5 times a week,51.62950000000001
28,Filtred_water,3 times a week,12,Never,13,Urban,Office,16,Regular salt,Occasionally,Every day,48.033500000000004
64,Bottled_water,Never,0,Once a week,58,Rural,Outdoors,13,Regular salt,Yes,3 times a week,52.90500000000001
36,Tap_water,5 times a week,6,Once a week,53,Rural,Home,5,Sea salt,Occasionally,Never,36.58500000000001
74,Filtred_water,Every day,6,Never,18,Industrial,Factory/Industrial,6,Regular salt,Yes,3 times a week,66.821
44,Tap_water,5 times a week,13,Once a week,53,Industrial,Home,23,Regular salt,Occasionally,3 times a week,58.304500000000004
50,Bottled_water,5 times a week,12,Never,13,Urban,Factory/Industrial,8,Regular salt,Occasionally,Every day,72.12650000000001
79,Bottled_water,Once a week,7,Never,14,Urban,Home,11,Regular salt,Yes,3 times a week,49.87300000000001
27,Tap_water,Once a week,0,Every day,47,Industrial,Factory/Industrial,9,Regular salt,Occasionally,5 times a week,58.663500000000006
41,Tap_water,Never,0,3 times a week,47,Industrial,Office,19,Regular salt,Occasionally,Never,33.5035
34,Filtred_water,3 times a week,7,Once a week,93,Industrial,Outdoors,15,Regular salt,No,Never,48.324500000000015
29,Tap_water,Never,6,3 times a week,31,Rural,Factory/Industrial,8,Regular salt,Yes,Once a week,31.767499999999995
52,Bottled_water,Never,14,Once a week,52,Industrial,Factory/Industrial,19,Regular salt,Occasionally,5 times a week,68.3045
44,Bottled_water,5 times a week,2,5 times a week,63,Urban,Outdoors,23,Regular salt,No,Once a week,85.58599999999998
49,Bottled_water,Never,1,Every day,7,Rural,Home,0,Sea salt,Occasionally,Never,54.74850000000001
68,Tap_water,3 times a week,6,5 times a week,5,Urban,Office,11,Regular salt,Occasionally,Never,40.249
47,Tap_water,5 times a week,14,3 times a week,69,Industrial,Outdoors,13,Sea salt,No,3 times a week,57.87950000000001
31,Filtred_water,5 times a week,12,5 times a week,97,Urban,Factory/Industrial,8,Regular salt,Yes,Once a week,69.99950000000001
42,Bottled_water,5 times a week,9,Every day,4,Rural,Office,12,Sea salt,Yes,Every day,95.6725
33,Bottled_water,5 times a week,10,Never,69,Industrial,Office,22,Regular salt,No,3 times a week,78.18
27,Tap_water,3 times a week,9,Once a week,94,Rural,Outdoors,2,Sea salt,Occasionally,Every day,42.19250000000001
44,Bottled_water,Never,7,Every day,48,Industrial,Office,13,Sea salt,Occasionally,Every day,81.9045
54,Filtred_water,5 times a week,3,Once a week,67,Industrial,Factory/Industrial,18,Sea salt,Yes,5 times a week,66.93100000000001
31,Tap_water,5 times a week,13,3 times a week,31,Rural,Office,16,Regular salt,Occasionally,Once a week,52.077499999999986
41,Bottled_water,3 times a week,3,5 times a week,83,Urban,Office,21,Sea salt,Yes,3 times a week,83.91499999999999
58,Bottled_water,Never,8,Every day,5,Rural,Home,22,Regular salt,Occasionally,Every day,82.6755
59,Bottled_water,5 times a week,2,Every day,16,Industrial,Outdoors,5,Regular salt,Occasionally,3 times a week,84.55049999999999
73,Tap_water,Once a week,12,3 times a week,14,Rural,Outdoors,15,Regular salt,Occasionally,Never,34.101000000000006
25,Filtred_water,5 times a week,1,Once a week,31,Urban,Home,16,Regular salt,Occasionally,Every day,55.4165
31,Bottled_water,Once a week,13,Never,53,Industrial,Office,9,Regular salt,Yes,Never,52.2595
32,Filtred_water,Every day,14,Once a week,4,Industrial,Home,4,Regular salt,Yes,Once a week,61.738
30,Filtred_water,Every day,9,5 times a week,27,Industrial,Home,0,Sea salt,Occasionally,3 times a week,70.32699999999998
45,Bottled_water,3 times a week,11,Every day,22,Rural,Home,16,Regular salt,Occasionally,5 times a week,89.36049999999999
51,Tap_water,Every day,4,Once a week,9,Industrial,Home,18,Regular salt,Yes,3 times a week,66.64500000000001
33,Tap_water,Every day,11,Never,90,Urban,Home,20,Regular salt,No,Once a week,70.0755
31,Filtred_water,Never,1,Every day,93,Rural,Factory/Industrial,14,Sea salt,Yes,Every day,71.89450000000001
48,Filtred_water,Never,4,3 times a week,47,Urban,Factory/Industrial,6,Sea salt,No,Once a week,34.04650000000001
28,Tap_water,Once a week,5,Every day,31,Rural,Outdoors,5,Regular salt,Yes,3 times a week,49.42500000000001
40,Tap_water,5 times a week,12,Never,63,Industrial,Office,11,Sea salt,Occasionally,Once a week,45.0635
55,Filtred_water,Never,3,3 times a week,4,Industrial,Office,1,Sea salt,Occasionally,Never,21.5385
70,Tap_water,5 times a week,12,Never,55,Industrial,Factory/Industrial,8,Sea salt,No,Once a week,45.582
64,Filtred_water,Every day,5,Once a week,79,Urban,Home,2,Regular salt,No,5 times a week,65.7425
75,Bottled_water,5 times a week,1,Once a week,19,Industrial,Office,0,Regular salt,No,Every day,60.43300000000001
51,Bottled_water,5 times a week,13,3 times a week,74,Urban,Office,17,Regular salt,No,Never,78.957
48,Tap_water,Every day,10,3 times a week,44,Urban,Office,21,Regular salt,Yes,5 times a week,81.77099999999999
22,Tap_water,Once a week,9,Never,32,Industrial,Factory/Industrial,4,Regular salt,Occasionally,Every day,33.04299999999999
24,Bottled_water,5 times a week,14,Never,6,Rural,Outdoors,20,Regular salt,Yes,5 times a week,76.0545
28,Bottled_water,Once a week,1,5 times a week,61,Rural,Office,5,Sea salt,No,Never,54.107000000000006
58,Tap_water,5 times a week,6,Once a week,29,Urban,Home,13,Sea salt,Occasionally,Never,40.805
53,Tap_water,5 times a week,12,Once a week,34,Rural,Factory/Industrial,18,Sea salt,Yes,3 times a week,57.4365
55,Tap_water,Every day,5,Once a week,63,Industrial,Outdoors,0,Regular salt,No,3 times a week,57.00300000000001
71,Bottled_water,Once a week,9,Every day,55,Rural,Outdoors,11,Regular salt,Yes,5 times a week,83.87199999999999
61,Bottled_water,Never,6,Every day,8,Industrial,Factory/Industrial,3,Sea salt,Yes,3 times a week,71.2935
74,Filtred_water,5 times a week,1,Never,36,Rural,Office,15,Sea salt,Yes,5 times a week,51.69200000000001
43,Bottled_water,Once a week,1,Never,50,Urban,Outdoors,3,Regular salt,Occasionally,3 times a week,44.571000000000005
42,Tap_water,Never,11,Once a week,95,Urban,Home,6,Sea salt,Yes,Every day,36.4845
24,Bottled_water,3 times a week,8,3 times a week,83,Urban,Home,0,Sea salt,Yes,5 times a week,66.5695
65,Filtred_water,3 times a week,4,Never,76,Urban,Office,1,Sea salt,No,Never,30.357
42,Filtred_water,Once a week,10,5 times a week,98,Rural,Factory/Industrial,15,Regular salt,Yes,Never,58.34900000000001
28,Bottled_water,Every day,14,3 times a week,58,Urban,Home,23,Sea salt,No,Once a week,101.35099999999997
20,Tap_water,Never,12,Once a week,77,Urban,Home,5,Sea salt,Occasionally,Never,23.648999999999997
45,Bottled_water,Every day,5,5 times a week,98,Rural,Home,6,Regular salt,Yes,Never,95.4805
60,Filtred_water,Every day,8,Every day,44,Urban,Home,13,Sea salt,Yes,Every day,100.45399999999998
18,Bottled_water,5 times a week,8,Every day,28,Urban,Factory/Industrial,13,Regular salt,No,Never,92.23199999999999
29,Filtred_water,Every day,10,5 times a week,32,Industrial,Factory/Industrial,3,Sea salt,Occasionally,Never,74.87649999999998
49,Bottled_water,5 times a week,9,3 times a week,37,Rural,Office,5,Sea salt,No,3 times a week,67.627
48,Tap_water,3 times a week,0,Every day,21,Urban,Outdoors,8,Regular salt,Occasionally,Never,51.159499999999994
79,Bottled_water,Every day,14,5 times a week,99,Rural,Outdoors,10,Sea salt,No,3 times a week,103.8575
40,Filtred_water,Never,3,Never,74,Rural,Home,1,Regular salt,Occasionally,Never,18.999
19,Filtred_water,3 times a week,6,5 times a week,18,Rural,Office,19,Sea salt,Occasionally,Once a week,53.60899999999999
71,Tap_water,Once a week,4,Never,2,Industrial,Factory/Industrial,17,Regular salt,Yes,3 times a week,34.900499999999994
63,Tap_water,Every day,6,Every day,24,Rural,Home,0,Regular salt,No,Every day,78.96549999999999
77,Tap_water,Every day,11,Once a week,77,Industrial,Outdoors,2,Regular salt,Yes,Never,61.352000000000004
77,Filtred_water,3 times a week,5,Once a week,49,Rural,Home,9,Regular salt,Occasionally,Never,36.779
63,Tap_water,3 times a week,14,5 times a week,54,Rural,Office,6,Sea salt,Occasionally,5 times a week,50.0925
75,Filtred_water,Every day,11,Never,80,Urban,Office,23,Regular salt,Occasionally,3 times a week,80.49099999999999
50,Tap_water,Never,2,3 times a week,53,Urban,Factory/Industrial,14,Regular salt,Occasionally,3 times a week,38.453500000000005
58,Bottled_water,5 times a week,12,Every day,16,Industrial,Home,23,Sea salt,Occasionally,Once a week,98.4085
52,Filtred_water,Once a week,0,5 times a week,31,Rural,Factory/Industrial,12,Sea salt,Yes,Every day,54.18950000000001
19,Tap_water,Once a week,13,Once a week,29,Urban,Factory/Industrial,0,Sea salt,No,3 times a week,26.587500000000002
73,Bottled_water,5 times a week,10,3 times a week,45,Rural,Factory/Industrial,20,Regular salt,Yes,Once a week,85.47749999999999
33,Tap_water,Every day,6,Every day,76,Industrial,Office,13,Regular salt,Occasionally,5 times a week,94.94449999999999
28,Filtred_water,5 times a week,11,3 times a week,21,Rural,Outdoors,3,Regular salt,Occasionally,Once a week,46.27499999999999
60,Tap_water,Once a week,11,5 times a week,41,Rural,Outdoors,20,Regular salt,Yes,5 times a week,53.642500000000005
63,Bottled_water,Never,8,Once a week,84,Rural,Outdoors,14,Regular salt,Occasionally,Never,53.718500000000006
31,Bottled_water,Once a week,6,Once a week,19,Rural,Outdoors,17,Sea salt,No,Never,51.086999999999996
75,Bottled_water,3 times a week,13,Once a week,39,Industrial,Office,20,Regular salt,No,Every day,74.931
51,Bottled_water,Once a week,8,Never,41,Industrial,Home,21,Sea salt,Yes,Never,58.03650000000001
75,Filtred_water,Every day,4,Once a week,22,Industrial,Outdoors,20,Regular salt,Yes,3 times a week,75.825
19,Bottled_water,5 times a week,11,3 times a week,31,Industrial,Outdoors,17,Regular salt,Occasionally,5 times a week,82.88049999999998
65,Bottled_water,Once a week,2,Once a week,76,Rural,Factory/Industrial,21,Sea salt,Occasionally,5 times a week,69.975
26,Bottled_water,3 times a week,6,Never,94,Rural,Home,9,Regular salt,Yes,5 times a week,65.488
33,Filtred_water,Once a week,1,Never,53,Industrial,Factory/Industrial,7,Sea salt,No,Every day,38.7315
58,Bottled_water,Once a week,0,Once a week,14,Urban,Home,10,Regular salt,Yes,3 times a week,49.15850000000001
22,Filtred_water,Once a week,8,3 times a week,7,Rural,Outdoors,23,Sea salt,Yes,Every day,53.822
68,Filtred_water,3 times a week,5,5 times a week,37,Industrial,Factory/Industrial,6,Sea salt,Occasionally,3 times a week,54.14000000000001
60,Filtred_water,Never,0,3 times a week,11,Industrial,Home,18,Regular salt,Occasionally,Once a week,35.07599999999999
54,Tap_water,Once a week,8,Every day,27,Urban,Office,18,Regular salt,Yes,Never,56.17550000000001
32,Bottled_water,Every day,12,Every day,86,Industrial,Outdoors,23,Sea salt,No,Never,122.64049999999999
66,Tap_water,3 times a week,3,3 times a week,32,Industrial,Office,0,Sea salt,Occasionally,5 times a week,35.644
20,Filtred_water,3 times a week,1,3 times a week,99,Rural,Outdoors,8,Regular salt,Yes,Once a week,49.1245
32,Filtred_water,Never,5,Never,77,Rural,Factory/Industrial,9,Regular salt,No,Never,30.185999999999996
47,Filtred_water,Never,5,Every day,67,Industrial,Outdoors,5,Regular salt,Yes,Once a week,53.87550000000002
42,Bottled_water,5 times a week,9,Once a week,45,Rural,Home,17,Regular salt,No,5 times a week,74.576
61,Filtred_water,Once a week,1,Never,92,Industrial,Home,1,Sea salt,Occasionally,3 times a week,29.181499999999996
42,Tap_water,Every day,10,3 times a week,99,Industrial,Factory/Industrial,2,Regular salt,No,5 times a week,75.81099999999999
34,Filtred_water,Every day,8,Never,39,Urban,Factory/Industrial,14,Sea salt,Occasionally,3 times a week,72.99349999999998
21,Filtred_water,Once a week,1,Every day,87,Urban,Office,5,Sea salt,Yes,3 times a week,58.85900000000001
31,Filtred_water,Once a week,11,Every day,6,Rural,Home,6,Sea salt,No,3 times a week,50.972500000000004
46,Bottled_water,5 times a week,9,Once a week,80,Industrial,Office,16,Sea salt,Occasionally,Once a week,75.572
79,Tap_water,Once a week,1,5 times a week,81,Urban,Office,3,Sea salt,No,Once a week,33.086
50,Filtred_water,Once a week,14,5 times a week,38,Rural,Factory/Industrial,17,Regular salt,Yes,Never,55.098
57,Filtred_water,Never,12,5 times a week,21,Rural,Home,19,Regular salt,Yes,Every day,54.12100000000001
44,Filtred_water,3 times a week,7,3 times a week,33,Urban,Outdoors,4,Sea salt,Yes,3 times a week,44.47050000000001
62,Bottled_water,5 times a week,1,Every day,70,Industrial,Home,18,Regular salt,No,Never,93.83299999999998
77,Tap_water,5 times a week,5,Once a week,77,Industrial,Outdoors,6,Sea salt,Yes,5 times a week,50.286000000000016
63,Bottled_water,5 times a week,2,3 times a week,38,Industrial,Office,16,Regular salt,No,Every day,80.237
59,Tap_water,Once a week,6,Every day,79,Rural,Home,22,Sea salt,Occasionally,3 times a week,64.90350000000001
62,Filtred_water,5 times a week,8,Every day,37,Industrial,Factory/Industrial,11,Regular salt,No,3 times a week,78.2375
42,Filtred_water,Once a week,2,Once a week,21,Urban,Factory/Industrial,12,Sea salt,Yes,Never,35.325500000000005
28,Filtred_water,5 times a week,11,5 times a week,46,Urban,Office,23,Regular salt,Yes,Never,69.83599999999998
27,Tap_water,3 times a week,3,Once a week,25,Industrial,Office,2,Sea salt,No,Once a week,25.162000000000003
74,Tap_water,Never,11,Once a week,52,Urban,Home,2,Sea salt,Occasionally,Never,18.385499999999997
49,Tap_water,Once a week,0,Never,73,Urban,Factory/Industrial,4,Sea salt,Occasionally,Never,24.2485
62,Tap_water,Every day,8,5 times a week,31,Rural,Home,0,Sea salt,Yes,Every day,70.3535
34,Tap_water,Every day,2,Once a week,10,Urban,Factory/Industrial,23,Sea salt,No,Once a week,68.501
66,Bottled_water,5 times a week,5,5 times a week,29,Rural,Office,17,Regular salt,Occasionally,Never,77.076
44,Bottled_water,Never,5,Once a week,21,Urban,Office,13,Sea salt,Occasionally,Once a week,46.422
55,Filtred_water,5 times a week,13,Once a week,94,Industrial,Office,11,Regular salt,No,5 times a week,60.33650000000001
52,Bottled_water,Once a week,10,Once a week,23,Urban,Office,0,Regular salt,No,3 times a week,43.514500000000005
65,Bottled_water,3 times a week,11,Every day,64,Industrial,Factory/Industrial,23,Regular salt,Yes,Every day,110.1675
55,Tap_water,Once a week,3,3 times a week,14,Urban,Factory/Industrial,2,Sea salt,Occasionally,Every day,34.2075
66,Filtred_water,Never,1,Never,14,Rural,Office,12,Sea salt,Yes,Every day,31.400499999999997
70,Bottled_water,Once a week,12,5 times a week,40,Rural,Outdoors,12,Regular salt,Yes,Never,64.93050000000001
24,Bottled_water,Every day,14,Every day,50,Urban,Home,23,Regular salt,Occasionally,3 times a week,122.29799999999999
48,Bottled_water,Never,3,3 times a week,64,Industrial,Office,6,Sea salt,Occasionally,Every day,58.547
25,Tap_water,Every day,6,Once a week,8,Urban,Outdoors,18,Sea salt,No,Once a week,61.9015
36,Tap_water,5 times a week,14,Once a week,2,Industrial,Home,22,Sea salt,No,Every day,56.507000000000005
58,Tap_water,Every day,0,Never,93,Rural,Factory/Industrial,12,Sea salt,Occasionally,Once a week,65.8845
71,Bottled_water,3 times a week,4,Once a week,76,Rural,Home,20,Regular salt,Yes,Never,67.6795
33,Filtred_water,Every day,8,3 times a week,75,Urban,Office,8,Sea salt,No,Never,70.35449999999999
33,Bottled_water,Never,2,Never,4,Urban,Factory/Industrial,20,Regular salt,Yes,Every day,60.37350000000001
44,Tap_water,3 times a week,12,5 times a week,84,Rural,Factory/Industrial,10,Regular salt,Occasionally,Once a week,55.29149999999999
68,Filtred_water,Once a week,7,Once a week,79,Rural,Outdoors,23,Sea salt,Occasionally,Never,45.18500000000001
21,Filtred_water,5 times a week,1,5 times a week,3,Rural,Outdoors,9,Regular salt,Yes,3 times a week,54.883
66,Filtred_water,3 times a week,5,Never,0,Urban,Factory/Industrial,17,Regular salt,Occasionally,3 times a week,44.653
34,Tap_water,Never,0,Once a week,13,Urban,Outdoors,3,Sea salt,No,5 times a week,17.332
49,Tap_water,5 times a week,11,Never,59,Industrial,Home,13,Sea salt,Yes,3 times a week,49.77250000000001
23,Tap_water,3 times a week,6,Once a week,18,Rural,Home,8,Sea salt,Yes,Never,29.789499999999997
56,Filtred_water,Never,10,Never,14,Industrial,Office,12,Sea salt,Occasionally,Every day,34.494
49,Filtred_water,3 times a week,2,3 times a week,30,Rural,Outdoors,0,Regular salt,No,Every day,40.74850000000001
53,Bottled_water,3 times a week,9,Never,39,Industrial,Outdoors,16,Regular salt,Yes,Every day,71.459
25,Tap_water,3 times a week,6,Every day,43,Industrial,Home,11,Regular salt,Yes,3 times a week,63.46350000000001
45,Tap_water,3 times a week,4,Every day,79,Industrial,Outdoors,16,Regular salt,Yes,Every day,76.399
67,Tap_water,Once a week,4,Every day,62,Industrial,Office,5,Sea salt,No,5 times a week,52.785500000000006
